artifactType,artifactLabel,domain,competencyLabel,difficulty,priority,candidateCount,sampleQuestionIds,artifactBrief,generationPrompt
"security-audit-log","Security / access / audit evidence","D4","Security and governance controls","advanced","high","13","NH-CORE-GENERAL-D4-SECURITY-GOVERNANCE-ADVANCED-01; NH-FUNCTION-GENERAL-D4-SECURITY-GOVERNANCE-ADVANCED-03; NH-FUNCTION-FINANCE-D4-SECURITY-GOVERNANCE-ADVANCED-02; NH-FUNCTION-FINANCE-D4-SECURITY-GOVERNANCE-ADVANCED-04; NH-INDUSTRY-FINANCIAL-D4-SECURITY-GOVERNANCE-ADVANCED-01; NH-INDUSTRY-FINANCIAL-D4-SECURITY-GOVERNANCE-ADVANCED-03; NH-INDUSTRY-FINANCIAL-D4-SECURITY-GOVERNANCE-ADVANCED-04; NH-INDUSTRY-PUBLIC-D4-SECURITY-GOVERNANCE-ADVANCED-01","Realistic access log, vendor questionnaire, permission console, or audit trail with key fields highlighted.","Create a realistic security review artifact with access scopes, actor identity, requested action, approval status, audit timestamps, and one visible control gap."
"security-audit-log","Security / access / audit evidence","D5","ROI and measurement","applied","high","13","NH-CORE-GENERAL-D5-ROI-METRICS-APPLIED-04; NH-CORE-GENERAL-D5-ROI-METRICS-APPLIED-08; NH-FUNCTION-GENERAL-D5-ROI-METRICS-APPLIED-02; NH-FUNCTION-GENERAL-D5-ROI-METRICS-APPLIED-03; NH-FUNCTION-FINANCE-D5-ROI-METRICS-APPLIED-02; NH-FUNCTION-FINANCE-D5-ROI-METRICS-APPLIED-04; NH-INDUSTRY-FINANCIAL-D5-ROI-METRICS-APPLIED-01; NH-INDUSTRY-FINANCIAL-D5-ROI-METRICS-APPLIED-03","Realistic access log, vendor questionnaire, permission console, or audit trail with key fields highlighted.","Create a realistic security review artifact with access scopes, actor identity, requested action, approval status, audit timestamps, and one visible control gap."
"source-comparison-pack","Source comparison / version evidence","D5","Use-case evaluation","awareness","high","13","NH-CORE-GENERAL-D5-USECASE-FIT-AWARENESS-02; NH-CORE-GENERAL-D5-USECASE-FIT-AWARENESS-05; NH-FUNCTION-PEOPLE-D5-USECASE-FIT-AWARENESS-03; NH-FUNCTION-SALES-D5-USECASE-FIT-AWARENESS-01; NH-FUNCTION-SALES-D5-USECASE-FIT-AWARENESS-02; NH-FUNCTION-SALES-D5-USECASE-FIT-AWARENESS-03; NH-FUNCTION-SALES-D5-USECASE-FIT-AWARENESS-04; NH-FUNCTION-OPERATIONS-D5-USECASE-FIT-AWARENESS-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D5","Use-case evaluation","applied","high","13","NH-CORE-GENERAL-D5-USECASE-FIT-APPLIED-02; NH-CORE-GENERAL-D5-USECASE-FIT-APPLIED-05; NH-FUNCTION-PEOPLE-D5-USECASE-FIT-APPLIED-03; NH-FUNCTION-SALES-D5-USECASE-FIT-APPLIED-01; NH-FUNCTION-SALES-D5-USECASE-FIT-APPLIED-02; NH-FUNCTION-SALES-D5-USECASE-FIT-APPLIED-03; NH-FUNCTION-SALES-D5-USECASE-FIT-APPLIED-04; NH-FUNCTION-OPERATIONS-D5-USECASE-FIT-APPLIED-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D5","Use-case evaluation","proficient","high","13","NH-CORE-GENERAL-D5-USECASE-FIT-PROFICIENT-02; NH-CORE-GENERAL-D5-USECASE-FIT-PROFICIENT-05; NH-FUNCTION-PEOPLE-D5-USECASE-FIT-PROFICIENT-03; NH-FUNCTION-SALES-D5-USECASE-FIT-PROFICIENT-01; NH-FUNCTION-SALES-D5-USECASE-FIT-PROFICIENT-02; NH-FUNCTION-SALES-D5-USECASE-FIT-PROFICIENT-03; NH-FUNCTION-SALES-D5-USECASE-FIT-PROFICIENT-04; NH-FUNCTION-OPERATIONS-D5-USECASE-FIT-PROFICIENT-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D5","Use-case evaluation","advanced","high","13","NH-CORE-GENERAL-D5-USECASE-FIT-ADVANCED-02; NH-CORE-GENERAL-D5-USECASE-FIT-ADVANCED-05; NH-FUNCTION-PEOPLE-D5-USECASE-FIT-ADVANCED-03; NH-FUNCTION-SALES-D5-USECASE-FIT-ADVANCED-01; NH-FUNCTION-SALES-D5-USECASE-FIT-ADVANCED-02; NH-FUNCTION-SALES-D5-USECASE-FIT-ADVANCED-03; NH-FUNCTION-SALES-D5-USECASE-FIT-ADVANCED-04; NH-FUNCTION-OPERATIONS-D5-USECASE-FIT-ADVANCED-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D6","Change enablement","applied","high","13","NH-CORE-GENERAL-D6-CHANGE-ENABLEMENT-APPLIED-02; NH-CORE-GENERAL-D6-CHANGE-ENABLEMENT-APPLIED-05; NH-CORE-GENERAL-D6-CHANGE-ENABLEMENT-APPLIED-06; NH-FUNCTION-PEOPLE-D6-CHANGE-ENABLEMENT-APPLIED-01; NH-FUNCTION-PEOPLE-D6-CHANGE-ENABLEMENT-APPLIED-03; NH-FUNCTION-OPERATIONS-D6-CHANGE-ENABLEMENT-APPLIED-01; NH-FUNCTION-OPERATIONS-D6-CHANGE-ENABLEMENT-APPLIED-02; NH-FUNCTION-OPERATIONS-D6-CHANGE-ENABLEMENT-APPLIED-03","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"workflow-trace","Workflow / agent trace","D2","Agentic workflows","advanced","high","13","NH-CORE-GENERAL-D2-AGENTIC-WORKFLOWS-ADVANCED-06; NH-FUNCTION-GENERAL-D2-AGENTIC-WORKFLOWS-ADVANCED-01; NH-FUNCTION-GENERAL-D2-AGENTIC-WORKFLOWS-ADVANCED-03; NH-FUNCTION-FINANCE-D2-AGENTIC-WORKFLOWS-ADVANCED-03; NH-FUNCTION-TECHNICAL-D2-AGENTIC-WORKFLOWS-ADVANCED-01; NH-FUNCTION-TECHNICAL-D2-AGENTIC-WORKFLOWS-ADVANCED-02; NH-FUNCTION-TECHNICAL-D2-AGENTIC-WORKFLOWS-ADVANCED-03; NH-FUNCTION-TECHNICAL-D2-AGENTIC-WORKFLOWS-ADVANCED-04","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"workflow-trace","Workflow / agent trace","D5","Use-case evaluation","proficient","high","13","NH-CORE-GENERAL-D5-USECASE-FIT-PROFICIENT-01; NH-CORE-GENERAL-D5-USECASE-FIT-PROFICIENT-06; NH-FUNCTION-GENERAL-D5-USECASE-FIT-PROFICIENT-01; NH-FUNCTION-PEOPLE-D5-USECASE-FIT-PROFICIENT-01; NH-FUNCTION-MARKETING-D5-USECASE-FIT-PROFICIENT-01; NH-FUNCTION-TECHNICAL-D5-USECASE-FIT-PROFICIENT-01; NH-FUNCTION-TECHNICAL-D5-USECASE-FIT-PROFICIENT-02; NH-FUNCTION-TECHNICAL-D5-USECASE-FIT-PROFICIENT-03","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"workflow-trace","Workflow / agent trace","D6","Learning and improvement loops","advanced","high","13","NH-CORE-GENERAL-D6-LEARNING-LOOPS-ADVANCED-06; NH-FUNCTION-MARKETING-D6-LEARNING-LOOPS-ADVANCED-03; NH-FUNCTION-TECHNICAL-D6-LEARNING-LOOPS-ADVANCED-01; NH-FUNCTION-TECHNICAL-D6-LEARNING-LOOPS-ADVANCED-02; NH-FUNCTION-TECHNICAL-D6-LEARNING-LOOPS-ADVANCED-03; NH-FUNCTION-TECHNICAL-D6-LEARNING-LOOPS-ADVANCED-04; NH-INDUSTRY-EDUCATION-D6-LEARNING-LOOPS-ADVANCED-01; NH-EXECUTIVE-PEOPLE-D6-LEARNING-LOOPS-ADVANCED-02","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D3","Data and chart judgment","applied","high","12","NH-CORE-GENERAL-D3-DATA-CHART-JUDGMENT-APPLIED-01; NH-CORE-GENERAL-D3-DATA-CHART-JUDGMENT-APPLIED-03; NH-CORE-GENERAL-D3-DATA-CHART-JUDGMENT-APPLIED-07; NH-FUNCTION-GENERAL-D3-DATA-CHART-JUDGMENT-APPLIED-02; NH-FUNCTION-GENERAL-D3-DATA-CHART-JUDGMENT-APPLIED-04; NH-FUNCTION-FINANCE-D3-DATA-CHART-JUDGMENT-APPLIED-01; NH-FUNCTION-FINANCE-D3-DATA-CHART-JUDGMENT-APPLIED-03; NH-EXECUTIVE-BOARD-D3-DATA-CHART-JUDGMENT-APPLIED-02","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D3","Data and chart judgment","proficient","high","12","NH-CORE-GENERAL-D3-DATA-CHART-JUDGMENT-PROFICIENT-03; NH-CORE-GENERAL-D3-DATA-CHART-JUDGMENT-PROFICIENT-04; NH-CORE-GENERAL-D3-DATA-CHART-JUDGMENT-PROFICIENT-07; NH-CORE-GENERAL-D3-DATA-CHART-JUDGMENT-PROFICIENT-08; NH-FUNCTION-GENERAL-D3-DATA-CHART-JUDGMENT-PROFICIENT-04; NH-FUNCTION-FINANCE-D3-DATA-CHART-JUDGMENT-PROFICIENT-03; NH-EXECUTIVE-BOARD-D3-DATA-CHART-JUDGMENT-PROFICIENT-01; NH-EXECUTIVE-BOARD-D3-DATA-CHART-JUDGMENT-PROFICIENT-02","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D5","Use-case evaluation","awareness","high","12","NH-FUNCTION-GENERAL-D5-USECASE-FIT-AWARENESS-02; NH-FUNCTION-PEOPLE-D5-USECASE-FIT-AWARENESS-04; NH-EXECUTIVE-CEO-D5-USECASE-FIT-AWARENESS-02; NH-EXECUTIVE-CEO-D5-USECASE-FIT-AWARENESS-03; NH-EXECUTIVE-CEO-D5-USECASE-FIT-AWARENESS-04; NH-EXECUTIVE-PEOPLE-D5-USECASE-FIT-AWARENESS-01; NH-EXECUTIVE-PEOPLE-D5-USECASE-FIT-AWARENESS-02; NH-EXECUTIVE-PEOPLE-D5-USECASE-FIT-AWARENESS-03","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"media-asset-review","Media / asset provenance evidence","D3","Media provenance","applied","high","12","NH-CORE-GENERAL-D3-MEDIA-PROVENANCE-APPLIED-01; NH-CORE-GENERAL-D3-MEDIA-PROVENANCE-APPLIED-03; NH-CORE-GENERAL-D3-MEDIA-PROVENANCE-APPLIED-04; NH-CORE-GENERAL-D3-MEDIA-PROVENANCE-APPLIED-07; NH-CORE-GENERAL-D3-MEDIA-PROVENANCE-APPLIED-08; NH-FUNCTION-MARKETING-D3-MEDIA-PROVENANCE-APPLIED-01; NH-FUNCTION-MARKETING-D3-MEDIA-PROVENANCE-APPLIED-02; NH-FUNCTION-MARKETING-D3-MEDIA-PROVENANCE-APPLIED-03","Media review board showing image/asset, license terms, caption/source, and provenance checks.","Create a realistic media provenance review board with thumbnail, caption, source/date fields, license scope, detector result, and a highlighted mismatch."
"source-comparison-pack","Source comparison / version evidence","D1","Capability boundaries","awareness","high","12","NH-CORE-GENERAL-D1-CAPABILITY-LIMITS-AWARENESS-02; NH-CORE-GENERAL-D1-CAPABILITY-LIMITS-AWARENESS-05; NH-FUNCTION-SALES-D1-CAPABILITY-LIMITS-AWARENESS-01; NH-FUNCTION-SALES-D1-CAPABILITY-LIMITS-AWARENESS-02; NH-FUNCTION-SALES-D1-CAPABILITY-LIMITS-AWARENESS-03; NH-FUNCTION-SALES-D1-CAPABILITY-LIMITS-AWARENESS-04; NH-FUNCTION-CUSTOMERSERVICE-D1-CAPABILITY-LIMITS-AWARENESS-01; NH-FUNCTION-CUSTOMERSERVICE-D1-CAPABILITY-LIMITS-AWARENESS-02","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D2","Output refinement","proficient","high","12","NH-CORE-GENERAL-D2-OUTPUT-REFINEMENT-PROFICIENT-01; NH-CORE-GENERAL-D2-OUTPUT-REFINEMENT-PROFICIENT-02; NH-CORE-GENERAL-D2-OUTPUT-REFINEMENT-PROFICIENT-05; NH-FUNCTION-PEOPLE-D2-OUTPUT-REFINEMENT-PROFICIENT-02; NH-FUNCTION-PEOPLE-D2-OUTPUT-REFINEMENT-PROFICIENT-03; NH-FUNCTION-MARKETING-D2-OUTPUT-REFINEMENT-PROFICIENT-04; NH-FUNCTION-CUSTOMERSERVICE-D2-OUTPUT-REFINEMENT-PROFICIENT-01; NH-FUNCTION-CUSTOMERSERVICE-D2-OUTPUT-REFINEMENT-PROFICIENT-02","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D3","Fraud and manipulation detection","awareness","high","12","NH-CORE-GENERAL-D3-FRAUD-DETECTION-AWARENESS-02; NH-CORE-GENERAL-D3-FRAUD-DETECTION-AWARENESS-05; NH-FUNCTION-SALES-D3-FRAUD-DETECTION-AWARENESS-01; NH-FUNCTION-SALES-D3-FRAUD-DETECTION-AWARENESS-02; NH-FUNCTION-SALES-D3-FRAUD-DETECTION-AWARENESS-03; NH-FUNCTION-SALES-D3-FRAUD-DETECTION-AWARENESS-04; NH-FUNCTION-CUSTOMERSERVICE-D3-FRAUD-DETECTION-AWARENESS-01; NH-FUNCTION-CUSTOMERSERVICE-D3-FRAUD-DETECTION-AWARENESS-02","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D3","Fraud and manipulation detection","proficient","high","12","NH-CORE-GENERAL-D3-FRAUD-DETECTION-PROFICIENT-02; NH-CORE-GENERAL-D3-FRAUD-DETECTION-PROFICIENT-05; NH-FUNCTION-SALES-D3-FRAUD-DETECTION-PROFICIENT-01; NH-FUNCTION-SALES-D3-FRAUD-DETECTION-PROFICIENT-02; NH-FUNCTION-SALES-D3-FRAUD-DETECTION-PROFICIENT-03; NH-FUNCTION-SALES-D3-FRAUD-DETECTION-PROFICIENT-04; NH-FUNCTION-CUSTOMERSERVICE-D3-FRAUD-DETECTION-PROFICIENT-01; NH-FUNCTION-CUSTOMERSERVICE-D3-FRAUD-DETECTION-PROFICIENT-02","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D3","Fraud and manipulation detection","advanced","high","12","NH-CORE-GENERAL-D3-FRAUD-DETECTION-ADVANCED-02; NH-CORE-GENERAL-D3-FRAUD-DETECTION-ADVANCED-05; NH-FUNCTION-SALES-D3-FRAUD-DETECTION-ADVANCED-01; NH-FUNCTION-SALES-D3-FRAUD-DETECTION-ADVANCED-02; NH-FUNCTION-SALES-D3-FRAUD-DETECTION-ADVANCED-03; NH-FUNCTION-SALES-D3-FRAUD-DETECTION-ADVANCED-04; NH-FUNCTION-CUSTOMERSERVICE-D3-FRAUD-DETECTION-ADVANCED-01; NH-FUNCTION-CUSTOMERSERVICE-D3-FRAUD-DETECTION-ADVANCED-02","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"workflow-trace","Workflow / agent trace","D3","Fraud and manipulation detection","advanced","high","12","NH-CORE-GENERAL-D3-FRAUD-DETECTION-ADVANCED-03; NH-CORE-GENERAL-D3-FRAUD-DETECTION-ADVANCED-04; NH-CORE-GENERAL-D3-FRAUD-DETECTION-ADVANCED-06; NH-CORE-GENERAL-D3-FRAUD-DETECTION-ADVANCED-07; NH-CORE-GENERAL-D3-FRAUD-DETECTION-ADVANCED-08; NH-FUNCTION-FINANCE-D3-FRAUD-DETECTION-ADVANCED-02; NH-FUNCTION-FINANCE-D3-FRAUD-DETECTION-ADVANCED-03; NH-INDUSTRY-FINANCIAL-D3-FRAUD-DETECTION-ADVANCED-01","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D5","Use-case evaluation","proficient","high","11","NH-CORE-GENERAL-D5-USECASE-FIT-PROFICIENT-03; NH-CORE-GENERAL-D5-USECASE-FIT-PROFICIENT-07; NH-FUNCTION-GENERAL-D5-USECASE-FIT-PROFICIENT-02; NH-FUNCTION-PEOPLE-D5-USECASE-FIT-PROFICIENT-02; NH-EXECUTIVE-CEO-D5-USECASE-FIT-PROFICIENT-03; NH-EXECUTIVE-CEO-D5-USECASE-FIT-PROFICIENT-04; NH-EXECUTIVE-PEOPLE-D5-USECASE-FIT-PROFICIENT-01; NH-EXECUTIVE-PEOPLE-D5-USECASE-FIT-PROFICIENT-03","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D5","ROI and measurement","applied","high","11","NH-CORE-GENERAL-D5-ROI-METRICS-APPLIED-03; NH-CORE-GENERAL-D5-ROI-METRICS-APPLIED-07; NH-FUNCTION-GENERAL-D5-ROI-METRICS-APPLIED-04; NH-FUNCTION-FINANCE-D5-ROI-METRICS-APPLIED-03; NH-EXECUTIVE-CEO-D5-ROI-METRICS-APPLIED-02; NH-EXECUTIVE-CEO-D5-ROI-METRICS-APPLIED-03; NH-EXECUTIVE-FINANCE-D5-ROI-METRICS-APPLIED-01; NH-EXECUTIVE-FINANCE-D5-ROI-METRICS-APPLIED-02","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D5","ROI and measurement","proficient","high","11","NH-FUNCTION-GENERAL-D5-ROI-METRICS-PROFICIENT-02; NH-FUNCTION-FINANCE-D5-ROI-METRICS-PROFICIENT-01; NH-FUNCTION-FINANCE-D5-ROI-METRICS-PROFICIENT-03; NH-EXECUTIVE-CEO-D5-ROI-METRICS-PROFICIENT-02; NH-EXECUTIVE-CEO-D5-ROI-METRICS-PROFICIENT-03; NH-EXECUTIVE-CEO-D5-ROI-METRICS-PROFICIENT-04; NH-EXECUTIVE-BOARD-D5-ROI-METRICS-PROFICIENT-01; NH-EXECUTIVE-FINANCE-D5-ROI-METRICS-PROFICIENT-03","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D5","Use-case evaluation","advanced","high","11","NH-FUNCTION-PEOPLE-D5-USECASE-FIT-ADVANCED-04; NH-EXECUTIVE-CEO-D5-USECASE-FIT-ADVANCED-02; NH-EXECUTIVE-CEO-D5-USECASE-FIT-ADVANCED-03; NH-EXECUTIVE-CEO-D5-USECASE-FIT-ADVANCED-04; NH-EXECUTIVE-PEOPLE-D5-USECASE-FIT-ADVANCED-01; NH-EXECUTIVE-PEOPLE-D5-USECASE-FIT-ADVANCED-02; NH-EXECUTIVE-PEOPLE-D5-USECASE-FIT-ADVANCED-03; NH-EXECUTIVE-PEOPLE-D5-USECASE-FIT-ADVANCED-04","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"media-asset-review","Media / asset provenance evidence","D4","Fairness, ethics, and rights","applied","high","11","NH-CORE-GENERAL-D4-FAIRNESS-ETHICS-APPLIED-04; NH-CORE-GENERAL-D4-FAIRNESS-ETHICS-APPLIED-08; NH-FUNCTION-PEOPLE-D4-FAIRNESS-ETHICS-APPLIED-01; NH-FUNCTION-MARKETING-D4-FAIRNESS-ETHICS-APPLIED-01; NH-FUNCTION-MARKETING-D4-FAIRNESS-ETHICS-APPLIED-02; NH-FUNCTION-MARKETING-D4-FAIRNESS-ETHICS-APPLIED-03; NH-FUNCTION-MARKETING-D4-FAIRNESS-ETHICS-APPLIED-04; NH-INDUSTRY-EDUCATION-D4-FAIRNESS-ETHICS-APPLIED-02","Media review board showing image/asset, license terms, caption/source, and provenance checks.","Create a realistic media provenance review board with thumbnail, caption, source/date fields, license scope, detector result, and a highlighted mismatch."
"media-asset-review","Media / asset provenance evidence","D4","Fairness, ethics, and rights","advanced","high","11","NH-CORE-GENERAL-D4-FAIRNESS-ETHICS-ADVANCED-04; NH-CORE-GENERAL-D4-FAIRNESS-ETHICS-ADVANCED-08; NH-FUNCTION-MARKETING-D4-FAIRNESS-ETHICS-ADVANCED-01; NH-FUNCTION-MARKETING-D4-FAIRNESS-ETHICS-ADVANCED-02; NH-FUNCTION-MARKETING-D4-FAIRNESS-ETHICS-ADVANCED-03; NH-FUNCTION-MARKETING-D4-FAIRNESS-ETHICS-ADVANCED-04; NH-INDUSTRY-EDUCATION-D4-FAIRNESS-ETHICS-ADVANCED-02; NH-INDUSTRY-HEALTHCARE-D4-FAIRNESS-ETHICS-ADVANCED-03","Media review board showing image/asset, license terms, caption/source, and provenance checks.","Create a realistic media provenance review board with thumbnail, caption, source/date fields, license scope, detector result, and a highlighted mismatch."
"source-comparison-pack","Source comparison / version evidence","D1","Generative AI mechanics","proficient","high","11","NH-CORE-GENERAL-D1-GENAI-MECHANICS-PROFICIENT-02; NH-CORE-GENERAL-D1-GENAI-MECHANICS-PROFICIENT-03; NH-CORE-GENERAL-D1-GENAI-MECHANICS-PROFICIENT-05; NH-CORE-GENERAL-D1-GENAI-MECHANICS-PROFICIENT-06; NH-CORE-GENERAL-D1-GENAI-MECHANICS-PROFICIENT-07; NH-FUNCTION-MARKETING-D1-GENAI-MECHANICS-PROFICIENT-03; NH-FUNCTION-MARKETING-D1-GENAI-MECHANICS-PROFICIENT-04; NH-FUNCTION-TECHNICAL-D1-GENAI-MECHANICS-PROFICIENT-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D2","Prompt design","awareness","high","11","NH-CORE-GENERAL-D2-PROMPT-DESIGN-AWARENESS-02; NH-CORE-GENERAL-D2-PROMPT-DESIGN-AWARENESS-05; NH-FUNCTION-PEOPLE-D2-PROMPT-DESIGN-AWARENESS-03; NH-FUNCTION-SALES-D2-PROMPT-DESIGN-AWARENESS-01; NH-FUNCTION-SALES-D2-PROMPT-DESIGN-AWARENESS-02; NH-FUNCTION-SALES-D2-PROMPT-DESIGN-AWARENESS-03; NH-FUNCTION-SALES-D2-PROMPT-DESIGN-AWARENESS-04; NH-FUNCTION-CUSTOMERSERVICE-D2-PROMPT-DESIGN-AWARENESS-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D2","Prompt design","applied","high","11","NH-CORE-GENERAL-D2-PROMPT-DESIGN-APPLIED-02; NH-CORE-GENERAL-D2-PROMPT-DESIGN-APPLIED-05; NH-FUNCTION-PEOPLE-D2-PROMPT-DESIGN-APPLIED-03; NH-FUNCTION-SALES-D2-PROMPT-DESIGN-APPLIED-01; NH-FUNCTION-SALES-D2-PROMPT-DESIGN-APPLIED-02; NH-FUNCTION-SALES-D2-PROMPT-DESIGN-APPLIED-03; NH-FUNCTION-SALES-D2-PROMPT-DESIGN-APPLIED-04; NH-FUNCTION-CUSTOMERSERVICE-D2-PROMPT-DESIGN-APPLIED-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D4","Data protection and privacy","awareness","high","11","NH-CORE-GENERAL-D4-DATA-PRIVACY-AWARENESS-02; NH-CORE-GENERAL-D4-DATA-PRIVACY-AWARENESS-05; NH-FUNCTION-PEOPLE-D4-DATA-PRIVACY-AWARENESS-03; NH-FUNCTION-SALES-D4-DATA-PRIVACY-AWARENESS-01; NH-FUNCTION-SALES-D4-DATA-PRIVACY-AWARENESS-02; NH-FUNCTION-SALES-D4-DATA-PRIVACY-AWARENESS-03; NH-FUNCTION-SALES-D4-DATA-PRIVACY-AWARENESS-04; NH-FUNCTION-CUSTOMERSERVICE-D4-DATA-PRIVACY-AWARENESS-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D4","Data protection and privacy","applied","high","11","NH-CORE-GENERAL-D4-DATA-PRIVACY-APPLIED-02; NH-CORE-GENERAL-D4-DATA-PRIVACY-APPLIED-05; NH-FUNCTION-PEOPLE-D4-DATA-PRIVACY-APPLIED-03; NH-FUNCTION-SALES-D4-DATA-PRIVACY-APPLIED-01; NH-FUNCTION-SALES-D4-DATA-PRIVACY-APPLIED-02; NH-FUNCTION-SALES-D4-DATA-PRIVACY-APPLIED-03; NH-FUNCTION-SALES-D4-DATA-PRIVACY-APPLIED-04; NH-FUNCTION-CUSTOMERSERVICE-D4-DATA-PRIVACY-APPLIED-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
